H2,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
6,ˇ,Ari,553,01 55 40.0,C20 53 52,db,2.64,C0.17,,C0.18,,A4 V,,,
45,,Cas,542,01 55 44.8,C63 45 37,,3.35,0.15,,0.12,,B3 IV:p (shell),,,
,,Eri,566,01 56 40.6,51 31 03,d,3.69,C0.84,,C0.90,,G8 III,IV CN,,0.5 Hı 0.5
," ̨",Hyi,591,01 59 21.1,61 28 49,,2.86,C0.29,,C0.34,,F0n III,IV,,
59,,Cet,585,02 00 52.6,20 59 20,,3.99,C1.55,,C1.79,,M0 IIIb,,,
113," ̨",Psc,596,02 03 00.4,C02 51 09,vdbm,3.82,C0.02,,C0.05,,A0p Si Sr,,,
4,,Per,590,02 03 32.8,C54 34 34,b,4.99,0.07,,0.02,,B8 III,,,
57,1,And,603,02 05 02.6,C42 25 03,dbm,2.10,C1.37,,C1.37,,K3 IIb,,,
50,,Cas,580,02 05 03.2,C72 30 35,b,3.95,0.00,,C0.03,,A1 Va,,,
,,For,612,02 05 19.2,29 12 31,v,4.68,0.16,,0.12,,B9.5p Si,,,
13," ̨",Ari,617,02 08 13.2,C23 32 57,abn06,2.01,C1.15,,C1.13,,K2 IIIab,,,
4,ˇ,Tri,622,02 10 39.1,C35 04 26,db,3.00,C0.14,,C0.17,,A5 IV,,,
,,For,652,02 13 43.3,30 38 16,,5.27,0.01,,C0.01,,A0 VaC nn,,,
65  1,,Cet,649,02 13 59.0,C08 55 58,db,4.36,C0.88,,C0.90,,G7 II,III Fe,1,
,,,645,02 14 50.9,C51 09 03,db,5.31,C0.93,,C0.93,,G8 III CN 1 CH 0.5 Fe,,,1
,,,641,02 15 00.9,C58 38 47,s,6.43,C0.55,,C0.79,,A3 Iab,,,
,,Eri,674,02 17 10.2,51 25 38,d,3.56,0.12,,0.11,,B8 V,,,
67,,Cet,666,02 17 54.5,06 20 16,,5.51,C0.96,,C0.93,,G8.5 III,,,
9,,Tri,664,02 18 25.2,C33 55 55,,4.03,C0.02,,0.02,,A0 IV,Vn,,
68,o,Cet,681,02 20 17.0,02 53 40,vd,6.47,C0.97,,C5.71,,M5.5,9e III C pec,,
62,,And,670,02 20 29.0,C47 27 52,,5.31,C0.01,,C0.03,,A1 V,,,
,ı,Hyi,705,02 22 05.0,68 34 32,,4.08,C0.03,,C0.04,,A1 Va,,,
,,Hyi,715,02 22 59.8,73 33 44,,5.99,C1.09,,C1.01,,K1 III,,,
,,For,695,02 23 23.3,23 43 58,,5.19,C0.61,,C0.68,,G0 Va,,,
,,Hor,714,02 25 25.0,60 13 47,,5.36,C0.40,,C0.46,,F2 IV,V,,
72,,Cet,708,02 26 50.7,12 12 28,,4.88,0.03,,0.01,,A0 III,IVn,,
,,Eri,721,02 27 39.8,47 37 17,b,4.24,0.14,,0.11,,B5 IV,,,
73  2,,Cet,718,02 29 08.7,C08 32 31,b,4.30,0.05,,0.06,,A0 III,,,
12,,Tri,717,02 29 15.4,C29 45 03,,5.29,C0.31,,C0.36,,F0 III,,,
,,Cas,707,02 30 36.9,C67 29 04,vdm,4.46,C0.15,,C0.17,,A5p Sr,,,
,,Hyi,776,02 31 19.7,79 01 42,,5.27,C0.98,,C0.98,,G8 III,,,
76,,Cet,740,02 32 57.9,15 09 52,,4.74,C0.45,,C0.55,,F4 IV,,,
14,,Tri,736,02 33 14.3,C36 13 42,,5.15,C1.47,,C1.49,,K5 III,,,
78,,Cet,754,02 36 50.9,C05 40 23,db,4.87,C0.88,,C0.89,,G8 III,,,
,,,753,02 37 05.9,C06 58 27,sdb,5.79,C0.92,,C1.06,,K3 V,,,
,,,743,02 39 50.0,C72 53 51,,5.17,C0.90,,C0.90,,G8 III,,,
