"BRIGHT STARS,",Ascension,Declination
1663,05 05 26.9,49 33 12
1638,05 05 37.7,C15 25 42
1674,05 05 49.8,57 26 53
1654,05 06 14.7,22 20 50
1641,05 07 48.9,C41 15 28
1666,05 08 45.6,05 03 50
1679,05 10 02.0,08 43 54
1672,05 10 20.8,C09 51 07
1696,05 13 09.7,11 50 54
1744,05 13 44.9,67 09 52
1702,05 13 45.8,16 11 05
1705,05 14 05.2,12 55 14
1698,05 14 15.6,C02 52 55
1689,05 14 41.8,C38 30 17
1713,05 15 25.7,08 10 54
1708,05 18 03.5,C46 00 53
1743,05 18 09.2,34 52 41
1735,05 18 30.3,06 49 33
1767,05 19 49.4,50 35 12
1756,05 20 25.7,13 09 32
1729,05 20 26.7,C40 06 49
1765,05 22 42.5,00 21 56
1784,05 24 50.4,07 47 33
1788,05 25 24.5,02 22 53
1686,05 25 38.4,C79 14 53
1790,05 26 07.5,C06 21 54
1791,05 27 27.8,C28 37 17
1808,05 28 14.9,C17 58 36
1829,05 29 02.3,20 44 45
1856,05 30 40.1,47 03 54
1953,05 31 09.8,76 19 36
1839,05 31 46.5,C05 57 39
1862,05 31 52.2,35 27 29
1802,05 31 55.3,C63 04 49
1852,05 32 57.2,00 17 12
1845,05 33 17.9,C18 36 23
1865,05 33 32.8,17 48 37
1922,05 33 47.3,62 28 41
1843,05 33 56.0,C32 12 14
1876,05 35 50.2,C09 30 02
1879,05 36 09.5,C09 56 42
1890,05 36 16.8,04 29 00
1891,05 36 17.3,04 24 49
1899,05 36 20.3,05 53 57
1903,05 37 09.2,01 11 29
1907,05 37 55.4,C09 17 57
1910,05 38 45.1,C21 09 08
1931,05 39 40.5,02 35 27
1956,05 40 19.2,34 03 55
1948,05 41 41.6,01 56 03
2015,05 44 48.5,65 43 43
1983,05 45 14.1,22 26 37
1971,05 47 20.1,C49 49 56
2020,05 47 43.4,51 03 38
1998,05 47 47.7,14 48 59
1990,05 48 31.0,C17 44 04
2004,05 48 38.1,09 39 52
2042,05 50 09.9,56 09 45
2049,05 51 18.4,52 06 19
2040,05 51 36.8,35 45 44
2035,05 52 07.1,20 52 43
2012,05 52 46.4,C39 09 07
2034,05 54 29.5,C27 36 54
2047,05 55 28.8,C20 16 41
2061,05 56 10.4,C07 24 33
2029,05 56 23.9,C55 42 32
2085,05 57 14.9,14 09 56
2106,05 58 11.6,35 16 56
2120,05 59 42.8,42 48 54
2103,05 59 46.7,C00 33 12
2088,06 00 53.2,C44 56 50
2095,06 00 59.0,C37 12 43
2077,06 01 03.1,C54 17 02
2091,06 01 18.5,C45 56 11
2124,06 03 24.1,C09 38 45
2135,06 05 01.1,C20 08 11
2134,06 05 14.7,C23 15 38
2148,06 05 48.7,16 29 13
2221,06 08 37.1,68 50 50
2159,06 08 37.7,C14 45 53
2261,06 09 41.3,74 45 31
2180,06 09 44.6,22 25 55
2212,06 10 39.6,54 58 24
2199,06 12 59.5,C14 12 11
2165,06 14 42.7,C65 42 43
2227,06 15 45.5,06 16 54
2216,06 15 59.7,C22 29 59
2219,06 16 33.4,C29 29 22
2256,06 17 12.7,35 08 52
2241,06 17 29.0,C12 15 56
2273,06 20 36.3,07 49 55
2209,06 20 52.9,C69 18 37
2282,06 21 01.4,30 04 21
2238,06 21 15.2,C59 00 07
2296,06 22 47.4,33 26 48
2294,06 23 30.9,17 57 59
2286,06 24 04.8,C22 30 09
2326,06 24 21.8,52 42 23
2298,06 24 44.9,C04 34 55
2305,06 25 02.1,11 32 29
2289,06 26 19.3,C49 16 35
2361,06 28 51.4,32 35 34
2344,06 28 52.4,04 46 30
2343,06 30 03.7,C20 11 56
2387,06 32 37.6,23 25 58
2392,06 33 38.9,11 10 52
2385,06 33 54.3,C07 19 05
2395,06 34 34.3,01 14 08
2435,06 35 23.1,52 59 29
2414,06 35 49.9,22 58 50
2429,06 37 29.5,19 16 22
2451,06 38 19.7,43 12 47
2443,06 38 42.3,18 15 17
2421,06 38 46.8,C16 22 54
